hidden_size,num_iters,batch_size,learning_rate,reg,train_loss,val_loss,train_acc,val_acc
75,2000,200,0.001,0.1,1.3016899032432565,1.400054369847242,0.5483469387755102,0.513
75,2000,200,0.001,0.25,1.3315168794957424,1.401600023680915,0.5390408163265306,0.511
50,2000,200,0.001,0.001,1.3160916763165602,1.3898547102162357,0.5413469387755102,0.509
75,2000,200,0.001,0.01,1.2909521377685271,1.401016724937062,0.5502857142857143,0.508
50,2000,200,0.001,0.1,1.3267831931677856,1.4462148379350497,0.5356734693877551,0.499
75,2000,100,0.001,0.001,1.354545205053525,1.4641813127554175,0.5250816326530612,0.491
75,2000,200,0.001,0.001,1.2923425231921173,1.4268456580997768,0.5473265306122449,0.49
50,2000,200,0.001,0.01,1.3521131293811688,1.4770186689116185,0.5307551020408163,0.488
50,2000,100,0.001,0.1,1.4002169967944251,1.4672917561131875,0.5053469387755102,0.483
50,1000,100,0.001,0.01,1.4853646498353592,1.502514608233594,0.4771020408163265,0.48200000000000004
75,1000,100,0.001,0.001,1.4690672871440216,1.4934251076314575,0.4826734693877551,0.48200000000000004
75,2000,100,0.001,0.25,1.3896397023034788,1.4615629235801826,0.5165102040816326,0.48200000000000004
75,2000,100,0.001,0.1,1.4302908164178338,1.4944608915707742,0.493265306122449,0.479
75,1000,100,0.001,0.01,1.4924803562387532,1.507289264421835,0.4719183673469388,0.475
50,2000,200,0.001,0.25,1.3724751382844091,1.4355738665800968,0.5211632653061224,0.475
75,1000,200,0.001,0.1,1.420136699287449,1.4533797288249584,0.5009183673469387,0.473
75,1000,200,0.001,0.01,1.4257778978691078,1.4700617905982212,0.4968979591836735,0.47200000000000003
75,1000,200,0.001,0.001,1.4212333081480637,1.4749780481740633,0.5010408163265306,0.47200000000000003
50,2000,100,0.001,0.25,1.4170337814379437,1.486911902160815,0.5004897959183674,0.47
50,1000,200,0.001,0.01,1.4496214963872631,1.50199224913658,0.4933469387755102,0.47
50,2000,100,0.001,0.01,1.4291769008358586,1.5175086212507425,0.4987551020408163,0.469
50,1000,100,0.001,0.1,1.4903855001285125,1.5203622586694103,0.4730408163265306,0.46799999999999997
50,1000,200,0.001,0.001,1.438898720412749,1.4980677213473572,0.4945918367346938,0.46799999999999997
